penjualan,persediaan,produksi
50.0,286,96.0
20.0,327,61.0
150.0,264,87.0
57.0,311,47.0
80.0,330,99.0
61.0,297,28.0
57.0,320,23.0
112.0,216,8.0
43.0,183,10.0
43.0,157,17.0
41.0,134,18.0
40.0,119,25.0
82.0,71,34.0
40.0,58,27.0
50.0,50,42.0
20.0,30,73.0
42.0,34,46.0
30.0,68,64.0
50.0,48,30.0
57.0,109,61.0
53.0,113,57.0
57.0,143,30.0
11.0,161,29.0
90.0,71,73.0
43.0,28,73.0
60.0,32,64.0
51.0,36,55.0
30.0,94,88.0
123.0,68,97.0
70.0,49,51.0
51.0,30,32.0
80.0,25,75.0
50.0,37,62.0
82.0,54,99.0
100.0,57,103.0
24.0,138,105.0
22.0,149,33.0
30.0,130,11.0
70.0,120,60.0
60.0,190,130.0
150.0,163,123.0
14.0,240,91.0
30.0,297,87.0
170.0,195,68.0
57.0,345,150.0
57.0,426,81.0
65.0,509,148.0
61.0,544,96.0
70.0,546,72.0
15.0,567,36.0
122.0,469,24.0
30.0,439,73.0
91.0,348,73.0
60.0,158,218.0
57.0,219,61.0
57.0,262,43.0
182.0,152,72.0
57.0,178,26.0
22.0,235,79.0
110.0,226,101.0
70.0,222,66.0
12.0,262,52.0
30.0,283,51.0
91.0,219,73.0
6.0,240,27.0
100.0,140,73.0
140.0,45,45.0
57.0,72,27.0
90.0,8,26.0
50.0,18,64.0
70.0,48,100.0
71.0,111,134.0
40.0,170,99.0
57.0,205,35.0
160.0,123,78.0
40.0,149,66.0
20.0,186,57.0
150.0,146,110.0
57.0,215,69.0
20.0,296,101.0
218.0,107,29.0
57.0,135,28.0
70.0,89,24.0
83.0,6,73.0
50.0,1,45.0
31.0,38,68.0
30.0,83,75.0
100.0,32,49.0
57.0,48,16.0
70.0,23,45.0
30.0,47,54.0
61.0,41,55.0
110.0,7,76.0
43.0,56,92.0
37.0,83,58.0
80.0,61,58.0
30.0,63,32.0
100.0,18,55.0
40.0,91,84.0
20.0,131,49.0
60.0,123,92.0
60.0,190,127.0
57.0,268,78.0
10.0,216,28.0
230.0,321,137.0
64.0,227,75.0
61.0,250,84.0
60.0,190,73.0
57.0,264,74.0
70.0,270,76.0
50.0,256,36.0
120.0,206,70.0
50.0,319,163.0
10.0,343,34.0
120.0,280,57.0
10.0,406,136.0
80.0,575,249.0
72.0,576,73.0
70.0,730,224.0
57.0,777,47.0
1.0,820,44.0
57.0,920,90.0
30.0,890,73.0
60.0,756,76.0
73.0,759,76.0
60.0,787,88.0
17.0,914,144.0
57.0,1049,135.0
122.0,975,48.0
82.0,893,73.0
40.0,853,73.0
80.0,773,73.0
5.0,909,141.0
80.0,920,91.0
2.0,1002,84.0
189.0,853,40.0
60.0,854,61.0
80.0,844,70.0
11.0,878,45.0
57.0,972,94.0
50.0,1062,140.0
62.0,1182,58.0
41.0,1141,73.0
42.0,1161,62.0
210.0,1086,135.0
57.0,1225,139.0
47.0,1307,129.0
60.0,1295,48.0
10.0,1319,34.0
20.0,1299,73.0
40.0,1294,35.0
20.0,1208,29.0
40.0,1168,73.0
40.0,1128,73.0
50.0,1078,73.0
60.0,1018,73.0
51.0,967,73.0
60.0,907,73.0
40.0,867,73.0
20.0,847,73.0
40.0,807,73.0
29.0,778,73.0
70.0,708,73.0
82.0,626,73.0
30.0,596,73.0
41.0,555,73.0
10.0,545,73.0
130.0,415,73.0
11.0,511,107.0
57.0,611,100.0
20.0,692,101.0
30.0,662,73.0
20.0,642,73.0
30.0,612,73.0
